GEOID,weight,X,Y
421010001001,496,-75.1452986265071,39.95035345710272
421010002001,567,-75.15697747103509,39.955399887149404
421010004011,5077,-75.17658664005842,39.95415707115413
421010004021,278,-75.17223832537101,39.95417859581332
421010004022,255,-75.16812635261131,39.953155825890036
421010005001,2665,-75.15817764035553,39.95195337761339
421010006001,711,-75.1583355221568,39.94938447390015
421010008033,84,-75.17220901882685,39.949003826417346
421010008041,8,-75.16934865309858,39.94876057856226
421010009011,226,-75.16118903307537,39.947749316119044
421010010022,1155,-75.14764097783407,39.944114627123525
421010010023,165,-75.1468592682299,39.9466591479778
421010011011,405,-75.16426178336715,39.945546038899685
421010011014,179,-75.16284217765576,39.94575370005126
421010011021,3215,-75.15591609402092,39.94389037003881
421010012014,551,-75.18000525685319,39.94643356817399
421010012023,123,-75.17327258875852,39.9455922568655
421010013005,472,-75.1865086123397,39.94298059729555
421010018002,25,-75.1610854809187,39.94029011938644
421010019003,6087,-75.16876612086222,39.93951495868405
421010022001,304,-75.16863366473274,39.937018433682844
421010023002,40,-75.16259317063248,39.93440765317075
421010024002,325,-75.1560815585567,39.9339222202954
421010024003,497,-75.15934390772604,39.937486937953224
421010024004,739,-75.1569138920613,39.93605735379743
421010025002,89,-75.14675230725604,39.933445738842245
421010025004,1986,-75.15221199756633,39.93538794955172
421010027012,271,-75.15424790568419,39.92611423441652
421010027013,405,-75.15370204368092,39.92855510819983
421010027021,541,-75.14882677426934,39.930161258053204
421010027022,343,-75.14843423681356,39.9258882322337
421010028012,819,-75.15737282795912,39.926530497786224
421010028022,110,-75.1642307416482,39.927152431444554
421010028024,1711,-75.16271455454935,39.92940804988739
421010029003,3751,-75.1643410415138,39.93216890111203
421010030011,676,-75.1698791023241,39.930045479515286
421010030014,560,-75.17422722038673,39.9287263587374
421010030023,721,-75.173577524078,39.93303834949266
421010031005,305,-75.17803557511395,39.93194669253301
421010032003,1519,-75.18332838656411,39.93115128140226
421010032005,491,-75.18667073042145,39.93158196480748
421010032006,1065,-75.18889868758592,39.93311680307737
421010033001,552,-75.19073830735422,39.933360378690786
421010033002,7455,-75.19773692978004,39.939855797578794
421010033003,496,-75.19137484187648,39.93657610180937
421010033006,609,-75.19569874864965,39.9352573758675
421010036003,1771,-75.19047326263292,39.924337060968234
421010037011,656,-75.17708245395059,39.92806635051107
421010037012,967,-75.17748977876015,39.92622961991539
421010038002,16210,-75.18410306604059,39.91768289033148
421010039011,681,-75.17122233285694,39.92518551398408
421010039013,596,-75.1751949363125,39.921885315126865
421010039014,507,-75.17439170813104,39.92560275363996
421010040011,363,-75.16418065418765,39.924915137154684
421010040014,575,-75.1674110051566,39.92518179578811
421010040021,175,-75.16525647078517,39.919967433946766
